who,zone_item,x,y,zone,height,area,cleanable,equipment,part,out_links,in_links,undirected_links,max-contam-bout,contacts,transfers,food,zone_4,random
50,box-belt,58,27,2,15,143750,TRUE,tray-packing,,0,9,0,0,0,0,0,0,0
51,box-sticker-printer,42,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
52,box-sticker-printer,46,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
53,box-sticker-printer,50,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
54,box-sticker-printer,54,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
55,box-sticker-printer,58,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
56,box-sticker-printer,62,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
57,box-sticker-printer,66,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
58,box-sticker-printer,70,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
59,box-sticker-printer,74,31,2,75,625,FALSE,tray-packing,,0,0,0,0,0,0,0,0,0
60,floormat,40,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
61,floormat,43,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
62,floormat,44,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
63,floormat,47,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
64,floormat,48,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
65,floormat,51,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
66,floormat,52,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
67,floormat,55,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
68,floormat,56,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
69,floormat,59,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
70,floormat,60,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
71,floormat,63,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
72,floormat,64,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
73,floormat,67,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
74,floormat,68,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
75,floormat,71,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
76,floormat,72,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
77,floormat,75,35,2,0,1250,FALSE,tray-packing,floor,0,0,0,0,0,0,0,0,0
78,large-floormat,77,31,2,0,16250,FALSE,overflow-packing,floor,0,0,0,0,0,0,0,0,0
79,packing-belt-18,41,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
80,packing-belt-17,42,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
81,packing-belt-16,45,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
82,packing-belt-15,46,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
83,packing-belt-14,49,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
84,packing-belt-13,50,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
85,packing-belt-12,53,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
86,packing-belt-11,54,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
87,packing-belt-10,57,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
88,packing-belt-09,58,36,1,90,12500,TRUE,tray-packing,belt,1,1,0,0,0,0,0,0,0
89,packing-belt-08,61,36,1,90,12500,TRUE,tray-packing,belt,1,1,0,0,0,0,0,0,0
90,packing-belt-07,62,36,1,90,12500,TRUE,tray-packing,belt,0,0,0,0,0,0,0,0,0
