"prevalence","area","scenario","water","week"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
1.6260162601626,"tray packing","Baseline","Dry","1"
1.6260162601626,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
1.6260162601626,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
9.75609756097561,"tray packing","Baseline","Dry","1"
2.4390243902439,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
1.6260162601626,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0.813008130081301,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
5.69105691056911,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
1.6260162601626,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
0,"tray packing","Baseline","Dry","1"
21.7391304347826,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
47.8260869565217,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
21.7391304347826,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
21.7391304347826,"reject","Baseline","Dry","1"
34.7826086956522,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
21.7391304347826,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
39.1304347826087,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
34.7826086956522,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
34.7826086956522,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
17.3913043478261,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
0,"reject","Baseline","Dry","1"
30.4347826086957,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
21.7391304347826,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
43.4782608695652,"reject","Baseline","Dry","1"
26.0869565217391,"reject","Baseline","Dry","1"
8.69565217391304,"reject","Baseline","Dry","1"
4.34782608695652,"reject","Baseline","Dry","1"
13.0434782608696,"reject","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
10,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
10,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
10,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
10,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
20,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
